Origin,Destination,Operator,Bus Type,Departure Time,Arrival Time,Price,Date,Date Type
Chennai,Coimbatore,THAMARAI BUS TRANSPORTS,Bharat Benz A/C Sleeper (2+1),21:30,06:30,1749.0,17-Jun-2026,Weekday
Chennai,Coimbatore,SVT TRANZ,Bharat Benz A/C Sleeper (2+1),21:25,07:55,1300.0,17-Jun-2026,Weekday
Chennai,Coimbatore,SVT TRANZ,Bharat Benz A/C Sleeper (2+1),21:05,07:15,1234.0,17-Jun-2026,Weekday
Chennai,Coimbatore,Delta Transports Pvt Ltd,Bharat Benz A/C Sleeper (2+1),21:00,06:30,971.0,17-Jun-2026,Weekday
Chennai,Coimbatore,THAMARAI BUS TRANSPORTS,Bharat Benz A/C Sleeper (2+1),20:30,06:25,1159.0,17-Jun-2026,Weekday
Chennai,Coimbatore,VKV Travels,A/C Sleeper (2+1),21:30,07:05,1140.0,17-Jun-2026,Weekday
Chennai,Coimbatore,THAMARAI BUS TRANSPORTS,Bharat Benz A/C Sleeper (2+1),21:00,06:00,1199.0,17-Jun-2026,Weekday
Chennai,Coimbatore,KMS Mani Bus,Bharat Benz A/C Sleeper (2+1),22:25,08:25,699.0,17-Jun-2026,Weekday
Chennai,Coimbatore,SST Limoliner,Bharat Benz A/C Seater /Sleeper (2+1),20:45,06:40,2249.0,17-Jun-2026,Weekday
Chennai,Coimbatore,zingbus Maxx,Volvo 9600 SLX Multi-Axle AC Sleeper (2+1),21:15,07:45,1894.0,17-Jun-2026,Weekday
Chennai,Madurai,zingbus plus,A/C Semi Sleeper / Sleeper (2+1),21:30,06:30,1113.0,17-Jun-2026,Weekday
Chennai,Madurai,zingbus plus,A/C Semi Sleeper / Sleeper (2+1),22:40,08:00,1113.0,17-Jun-2026,Weekday
Chennai,Madurai,zingbus plus,A/C Seater / Sleeper (2+1),20:35,07:00,1113.0,17-Jun-2026,Weekday
Chennai,Madurai,FlixBus,A/C Seater / Sleeper (2+1),19:30,04:40,1160.95,17-Jun-2026,Weekday
Chennai,Madurai,zingbus plus,A/C Semi Sleeper / Sleeper (2+1),21:45,06:45,1164.0,17-Jun-2026,Weekday
Chennai,Madurai,Shri Abinesh Roadways,Bharat Benz A/C Sleeper (2+1),21:30,06:30,3400.0,17-Jun-2026,Weekday
Chennai,Madurai,Shri Abinesh Roadways,Bharat Benz A/C Sleeper (2+1),21:15,04:45,1409.0,17-Jun-2026,Weekday
Chennai,Madurai,SRI RAGHAVENDRA TRAVELS,A/C Sleeper (2+1),21:20,06:15,764.0,17-Jun-2026,Weekday
Chennai,Madurai,Sri Kumaran Travels,Bharat Benz A/C Seater /Sleeper (2+1),22:45,07:20,798.0,17-Jun-2026,Weekday
Chennai,Madurai,Sri Kumaran Travels,A/C Sleeper (2+1),21:00,05:30,1098.0,17-Jun-2026,Weekday
Chennai,Tiruchirapalli,zingbus plus,A/C Semi Sleeper / Sleeper (2+1),22:40,05:40,993.0,17-Jun-2026,Weekday
Chennai,Tiruchirapalli,VKV Travels,A/C Sleeper (2+1),20:40,03:30,1701.0,17-Jun-2026,Weekday
Chennai,Tiruchirapalli,ACLS Navigator,A/C Sleeper (2+1),21:25,03:50,2099.0,17-Jun-2026,Weekday
Chennai,Tiruchirapalli,Sri Renu Travels,A/C Seater / Sleeper (2+1),23:15,06:10,1149.0,17-Jun-2026,Weekday
Chennai,Tiruchirapalli,IntrCity SmartBus,AC Sleeper (2+1),22:45,06:05,979.0,17-Jun-2026,Weekday
Chennai,Tiruchirapalli,PSR Cruise,A/C Sleeper (2+1),23:05,06:10,1299.0,17-Jun-2026,Weekday
Chennai,Tiruchirapalli,Sri Kumaran Travels,Bharat Benz A/C Seater /Sleeper (2+1),22:45,05:30,798.0,17-Jun-2026,Weekday
Chennai,Tiruchirapalli,Red Express Travels,Bharat Benz A/C Seater /Sleeper (2+1),22:25,06:05,649.0,17-Jun-2026,Weekday
Chennai,Tiruchirapalli,AMRG TRANSPORTS,A/C Sleeper (2+1),22:35,05:30,699.0,17-Jun-2026,Weekday
Chennai,Tiruchirapalli,Sri Renu Travels,A/C Seater / Sleeper (2+1),14:10,20:30,899.0,17-Jun-2026,Weekday
Chennai,Salem,ARASAN ARASSI,A/C Sleeper (2+1),23:45,06:30,749.0,17-Jun-2026,Weekday
Chennai,Salem,SLN TRAVELS,A/C Seater / Sleeper (2+1),21:00,04:15,550.0,17-Jun-2026,Weekday
Chennai,Salem,SHRI ROADLINES,A/C Sleeper (2+1),21:50,05:15,600.0,17-Jun-2026,Weekday
Chennai,Salem,KPS Travels,A/C Sleeper (2+1),21:00,04:45,700.0,17-Jun-2026,Weekday
Chennai,Salem,Namasivaya Travels,A/C Sleeper (2+1),22:30,05:40,700.0,17-Jun-2026,Weekday
Chennai,Salem,NueGo,Electric A/C Sleeper (2+1),22:30,05:30,1199.0,17-Jun-2026,Weekday
Chennai,Salem,MRS Transport,Bharat Benz A/C Sleeper (2+1),21:40,04:40,699.0,17-Jun-2026,Weekday
Chennai,Salem,KPS Travels,A/C Sleeper (2+1),21:45,05:30,899.0,17-Jun-2026,Weekday
Chennai,Salem,MRP TRAVELS,A/C Sleeper (2+1),22:15,06:15,799.0,17-Jun-2026,Weekday
Chennai,Salem,Namasivaya Travels,A/C Sleeper (2+1),22:45,05:55,700.0,17-Jun-2026,Weekday
Chennai,Tirunelveli,KNR Tranz,Non A/C Seater / Sleeper (2+1),20:05,06:00,949.0,17-Jun-2026,Weekday
